Pokemon,Set,Normal Price ($),Foil Price ($),Price Date
Gengar (20),Fossil,7.63,,20210308 20:58:05
Gambler,Fossil,0.26,,20210308 20:58:06
Recycle,Fossil,0.24,,20210308 20:58:07
Indeedee V,Shining Fates,,0.83,20210308 20:58:58
Morpeko V,Shining Fates,,0.89,20210308 20:58:30
Orbeetle V - SWSH078,Jumbo Cards,,0.93,20210308 20:58:31
Omastar BREAK,XY - Fates Collide,,1.02,20210308 20:58:10
Cinderace V,Shining Fates,,1.08,20210308 20:58:58
Starmie BREAK,XY - Evolutions,,1.12,20210308 20:58:11
Galarian Darmanitan V,SWSH04: Vivid Voltage,,1.13,20210308 20:58:22
Steelix V,SWSH04: Vivid Voltage,,1.14,20210308 20:58:34
Drednaw V,Champions Path,,1.15,20210308 20:58:23
Cinderace V - SWSH015,SWSH: Sword & Shield Promo Cards,,1.16,20210308 20:58:21
Ampharos V,SWSH04: Vivid Voltage,,1.17,20210308 20:58:20
Morpeko V - SWSH056,SWSH: Sword & Shield Promo Cards,,1.21,20210308 20:58:30
Cramorant V,Shining Fates,,1.21,20210308 20:58:58
Aegislash V,SWSH04: Vivid Voltage,,1.24,20210308 20:58:20
Duraludon V,Champions Path,,1.24,20210308 20:58:24
Carracosta GX - SM239,SM Promos,,1.28,20210308 20:58:12
Rillaboom V - SWSH014,SWSH: Sword & Shield Promo Cards,,1.28,20210308 20:58:32
Zarude V,SWSH04: Vivid Voltage,,1.3,20210308 20:58:37
Machamp BREAK,XY - Evolutions,,1.32,20210308 20:58:10
Grimmsnarl V - SWSH057,SWSH: Sword & Shield Promo Cards,,1.42,20210308 20:58:28
Rhyperior V,SWSH03: Darkness Ablaze,,1.44,20210308 20:58:32
Galarian Cursola V,Champions Path,,1.45,20210308 20:58:22
Eiscue V,SWSH02: Rebel Clash,,1.46,20210308 20:58:25
Alcremie V,Champions Path,,1.49,20210308 20:58:20
Meowth V - SWSH004,SWSH: Sword & Shield Promo Cards,,1.5,20210308 20:58:29
Volcanion EX,XY - Steam Siege,,1.53,20210308 20:58:09
Wailord V,Champions Path,,1.53,20210308 20:58:35
Eldegoss V,Champions Path,,1.58,20210308 20:58:26
Torkoal V,SWSH01: Sword & Shield Base Set,,1.71,20210308 20:58:35
Diancie EX,XY - Fates Collide,,1.77,20210308 20:58:07
Tapu Koko V,SWSH01: Sword & Shield Base Set,,1.77,20210308 20:58:34
Galarian Sirfetchd V - SWSH043,SWSH: Sword & Shield Promo Cards,,1.83,20210308 20:58:33
Salamence V,SWSH03: Darkness Ablaze,,1.9,20210308 20:58:33
Glaceon GX - SM147,SM Promos,,1.91,20210308 20:58:13
Marshadow GX,SM - Burning Shadows,,1.91,20210308 20:58:14
Trevenant BREAK,XY - BREAKpoint,,1.96,20210308 20:58:11
Zamazenta V - SWSH019,SWSH: Sword & Shield Promo Cards,,2.06,20210308 20:58:37
Ditto V,Shining Fates,,2.17,20210308 20:58:23
Gumshoos GX (Full Art),SM Base Set,,2.22,20210308 20:58:16
Meowth VMAX - SWSH005,SWSH: Sword & Shield Promo Cards,,2.23,20210308 20:58:43
Centiskorch V,SWSH03: Darkness Ablaze,,2.26,20210308 20:58:21
Ho-Oh GX - SM57,SM Promos,,2.31,20210308 20:58:13
Zacian V - SWSH018,SWSH: Sword & Shield Promo Cards,,2.34,20210308 20:58:36
Galarian Darmanitan VMAX,SWSH04: Vivid Voltage,,2.5,20210308 20:58:40
Hop (Full Art),Champions Path,,2.53,20210308 20:58:51
Kartana GX (Full Art),SM - Crimson Invasion,,2.56,20210308 20:58:16
Morpeko VMAX,Shining Fates,,2.63,20210308 20:58:43
Gardevoir V (Full Art),Champions Path,,2.66,20210308 20:58:38
Togekiss VMAX,SWSH04: Vivid Voltage,,2.69,20210308 20:58:46
Eternatus V - SWSH064,SWSH: Sword & Shield Promo Cards,,2.78,20210308 20:58:27
Gyarados GX,SM - Crimson Invasion,,2.82,20210308 20:58:13
Drednaw VMAX,Champions Path,,2.9,20210308 20:58:41
Zacian V,SWSH01: Sword & Shield Base Set,,3.07,20210308 20:58:35
Stonjourner V (Full Art),SWSH01: Sword & Shield Base Set,,3.11,20210308 20:58:39
Stonjourner VMAX,SWSH01: Sword & Shield Base Set,,3.13,20210308 20:58:45
Orbeetle VMAX,SWSH04: Vivid Voltage,,3.16,20210308 20:58:44
Eternatus V,SWSH03: Darkness Ablaze,,3.22,20210308 20:58:27
Mewtwo EX,XY - Evolutions,,3.31,20210308 20:58:08
Alolan Exeggutor GX (Full Art),SM - Crimson Invasion,,3.33,20210308 20:58:15
Leafeon GX - SM146,SM Promos,,3.41,20210308 20:58:14
Venusaur EX,XY - Evolutions,,3.5,20210308 20:58:09
Marshadow GX (Full Art),SM - Burning Shadows,,3.5,20210308 20:58:16
Pikachu,XY - Evolutions,0.25,3.51,20210308 20:58:12
Zamazenta V,SWSH01: Sword & Shield Base Set,,3.63,20210308 20:58:36
Eevee VMAX - SWSH087,SWSH: Sword & Shield Promo Cards,,3.94,20210308 20:58:41
Galarian Stunfisk V (Full Art),SWSH03: Darkness Ablaze,,4.03,20210308 20:58:39
Eevee GX - SM242,SM Promos,,4.14,20210308 20:58:15
Alcremie VMAX (Secret),Shining Fates,,4.23,20210308 20:58:47
Pikachu V - SWSH063,SWSH: Sword & Shield Promo Cards,,4.53,20210308 20:58:31
Grimmsnarl VMAX,SWSH03: Darkness Ablaze,,4.71,20210308 20:58:42
Greedent,Shining Fates: Shiny Vault,,4.71,20210308 20:58:56
Scizor VMAX,SWSH03: Darkness Ablaze,,5.0,20210308 20:58:44
Mew V,SWSH03: Darkness Ablaze,,5.17,20210308 20:58:29
Warp Energy (Secret),SM - Crimson Invasion,,5.26,20210308 20:58:48
Ilima (Full Art),SM Base Set,,5.27,20210308 20:58:51
Magnemite (Secret),SM - Cosmic Eclipse,,5.54,20210308 20:58:19
Crobat V,Shining Fates,,6.0,20210308 20:58:22
Eternatus VMAX,SWSH03: Darkness Ablaze,,6.03,20210308 20:58:42
Eevee V - SWSH065,SWSH: Sword & Shield Promo Cards,,6.73,20210308 20:58:28
Toxtricity VMAX,SWSH02: Rebel Clash,,7.03,20210308 20:58:46
Lapras V (Full Art),SWSH01: Sword & Shield Base Set,,7.28,20210308 20:58:38
Galarian Darmanitan,Shining Fates: Shiny Vault,,7.5,20210308 20:58:54
Scorbunny,Shining Fates: Shiny Vault,,7.72,20210308 20:58:54
Oranguru,Shining Fates: Shiny Vault,,7.84,20210308 20:58:55
Team Rockets Handiwork (Full Art),XY - Fates Collide,,7.9,20210308 20:58:52
Zamazenta,SWSH04: Vivid Voltage,,8.0,20210308 20:58:50
Charizard V - SWSH050,SWSH: Sword & Shield Promo Cards,,8.61,20210308 20:58:38
Cara Liss (Full Art),Shining Fates,,8.66,20210308 20:58:50
Blastoise & Piplup GX,SM - Cosmic Eclipse,,9.12,20210308 20:58:17
Toxtricity VMAX,Shining Fates: Shiny Vault,,10.07,20210308 20:58:56
Team Yell Grunt (Secret),SWSH01: Sword & Shield Base Set,,10.26,20210308 20:58:52
Umbreon & Darkrai GX - SM241,SM Promos,,10.7,20210308 20:58:19
Galarian Linoone,Shining Fates: Shiny Vault,,10.74,20210308 20:58:55
Espeon & Deoxys GX - SM240,SM Promos,,11.54,20210308 20:58:18
Oleana (Full Art),SWSH02: Rebel Clash,,12.6,20210308 20:58:52
Piers (Full Art),Shining Fates,,12.73,20210308 20:58:53
Umbreon GX (Full Art),SM Base Set,,14.77,20210308 20:58:17
Galarian Rapidash,Shining Fates: Shiny Vault,,16.96,20210308 20:58:55
Togepi & Cleffa & Igglybuff GX,Alternate Art Promos,,17.1,20210308 20:58:18
Jirachi,SWSH04: Vivid Voltage,,18.07,20210308 20:58:49
Gardevoir VMAX (Secret),Champions Path,,19.23,20210308 20:58:47
Togekiss VMAX (Secret),SWSH04: Vivid Voltage,,19.8,20210308 20:58:48
Rayquaza,SWSH04: Vivid Voltage,,21.7,20210308 20:58:49
M Charizard EX,XY - Evolutions,,22.39,20210308 20:58:08
Ditto VMAX,Shining Fates: Shiny Vault,,30.43,20210308 20:58:57
Alakazam EX (Secret),XY - Fates Collide,,35.18,20210308 20:58:57
Charizard VMAX,SWSH03: Darkness Ablaze,,97.52,20210308 20:58:40
Special Delivery Pikachu - SWSH074,SWSH: Sword & Shield Promo Cards,,228.57,20210308 20:58:53
