Pokemon,Set,Normal Price ($),Foil Price ($),Price Date
Galarian Darmanitan,Shining Fates: Shiny Vault,,7.25,20210309 20:12:15
Oranguru,Shining Fates: Shiny Vault,,7.56,20210309 20:12:16
Scorbunny,Shining Fates: Shiny Vault,,7.66,20210309 20:12:14
Team Rockets Handiwork (Full Art),XY - Fates Collide,,7.71,20210309 20:12:12
Zamazenta,SWSH04: Vivid Voltage,,8.2,20210309 20:12:10
Cara Liss (Full Art),Shining Fates,,8.52,20210309 20:12:11
Charizard V - SWSH050,SWSH: Sword & Shield Promo Cards,,8.67,20210309 20:11:58
Blastoise & Piplup GX,SM - Cosmic Eclipse,,9.12,20210309 20:11:37
Toxtricity VMAX,Shining Fates: Shiny Vault,,9.51,20210309 20:12:17
Galarian Linoone,Shining Fates: Shiny Vault,,10.21,20210309 20:12:16
Team Yell Grunt (Secret),SWSH01: Sword & Shield Base Set,,10.26,20210309 20:12:13
Umbreon & Darkrai GX - SM241,SM Promos,,10.5,20210309 20:11:39
Espeon & Deoxys GX - SM240,SM Promos,,11.4,20210309 20:11:38
Oleana (Full Art),SWSH02: Rebel Clash,,12.43,20210309 20:12:12
Piers (Full Art),Shining Fates,,12.69,20210309 20:12:14
Umbreon GX (Full Art),SM Base Set,,14.93,20210309 20:11:36
Galarian Rapidash,Shining Fates: Shiny Vault,,16.6,20210309 20:12:15
Togepi & Cleffa & Igglybuff GX,Alternate Art Promos,,17.1,20210309 20:11:38
Jirachi,SWSH04: Vivid Voltage,,17.9,20210309 20:12:09
Gardevoir VMAX (Secret),Champions Path,,19.23,20210309 20:12:08
Togekiss VMAX (Secret),SWSH04: Vivid Voltage,,19.97,20210309 20:12:08
M Charizard EX,XY - Evolutions,,22.0,20210309 20:11:26
Rayquaza,SWSH04: Vivid Voltage,,22.5,20210309 20:12:10
Ditto VMAX,Shining Fates: Shiny Vault,,31.62,20210309 20:12:18
Alakazam EX (Secret),XY - Fates Collide,,35.18,20210309 20:12:18
Charizard VMAX,SWSH03: Darkness Ablaze,,97.56,20210309 20:12:01
Special Delivery Pikachu - SWSH074,SWSH: Sword & Shield Promo Cards,,228.57,20210309 20:12:13
