Pokemon,Set,Normal Price ($),Foil Price ($),Price Date
Zamazenta V - SWSH019,SWSH: Sword & Shield Promo Cards,,2.43,20210311 21:20:39
Meowth VMAX - SWSH005,SWSH: Sword & Shield Promo Cards,,2.55,20210311 21:20:46
Kartana GX (Full Art),SM - Crimson Invasion,,2.56,20210311 21:20:19
Gyarados GX,SM - Crimson Invasion,,2.57,20210311 21:20:15
Gardevoir V (Full Art),Champions Path,,2.67,20210311 21:20:41
Drednaw VMAX,Champions Path,,2.68,20210311 21:20:44
Eternatus V,SWSH03: Darkness Ablaze,,2.8,20210311 21:20:29
Zacian V,SWSH01: Sword & Shield Base Set,,2.86,20210311 21:20:38
Togekiss VMAX,SWSH04: Vivid Voltage,,2.86,20210311 21:20:50
Stonjourner V (Full Art),SWSH01: Sword & Shield Base Set,,2.93,20210311 21:20:42
Galarian Darmanitan VMAX,SWSH04: Vivid Voltage,,2.95,20210311 21:20:43
Zamazenta V,SWSH01: Sword & Shield Base Set,,3.1,20210311 21:20:39
Orbeetle VMAX,SWSH04: Vivid Voltage,,3.11,20210311 21:20:48
Leafeon GX - SM146,SM Promos,,3.13,20210311 21:20:16
Mewtwo EX,XY - Evolutions,,3.2,20210311 21:20:10
Venusaur EX,XY - Evolutions,,3.21,20210311 21:20:11
Pikachu,XY - Evolutions,0.26,3.47,20210311 21:20:14
Stonjourner VMAX,SWSH01: Sword & Shield Base Set,,3.48,20210311 21:20:49
Alolan Exeggutor GX (Full Art),SM - Crimson Invasion,,3.5,20210311 21:20:18
Marshadow GX (Full Art),SM - Burning Shadows,,3.5,20210311 21:20:19
Alcremie VMAX (Secret),Shining Fates,,3.8,20210311 21:20:51
Eevee GX - SM242,SM Promos,,4.02,20210311 21:20:17
Eevee VMAX - SWSH087,SWSH: Sword & Shield Promo Cards,,4.03,20210311 21:20:45
Galarian Stunfisk V (Full Art),SWSH03: Darkness Ablaze,,4.08,20210311 21:20:42
Grimmsnarl VMAX,SWSH03: Darkness Ablaze,,4.48,20210311 21:20:46
Greedent,Shining Fates: Shiny Vault,,4.49,20210311 21:21:01
Magnemite (Secret),SM - Cosmic Eclipse,,4.57,20210311 21:20:22
Pikachu V - SWSH063,SWSH: Sword & Shield Promo Cards,,4.88,20210311 21:20:33
Scizor VMAX,SWSH03: Darkness Ablaze,,4.91,20210311 21:20:48
Ilima (Full Art),SM Base Set,,4.92,20210311 21:20:55
Warp Energy (Secret),SM - Crimson Invasion,,5.26,20210311 21:20:52
Mew V,SWSH03: Darkness Ablaze,,5.48,20210311 21:20:31
Eternatus VMAX,SWSH03: Darkness Ablaze,,5.92,20210311 21:20:45
Crobat V,Shining Fates,,6.36,20210311 21:20:25
Toxtricity VMAX,SWSH02: Rebel Clash,,6.42,20210311 21:20:50
Lapras V (Full Art),SWSH01: Sword & Shield Base Set,,6.52,20210311 21:20:41
Eevee V - SWSH065,SWSH: Sword & Shield Promo Cards,,6.69,20210311 21:20:30
Yveltal,Shining Fates,,6.81,20210311 21:21:16
Galarian Darmanitan,Shining Fates: Shiny Vault,,7.19,20210311 21:20:59
Oranguru,Shining Fates: Shiny Vault,,7.22,20210311 21:21:00
Cara Liss (Full Art),Shining Fates,,7.41,20210311 21:20:54
Scorbunny,Shining Fates: Shiny Vault,,7.51,20210311 21:20:58
Team Rockets Handiwork (Full Art),XY - Fates Collide,,7.88,20210311 21:20:56
Charizard V - SWSH050,SWSH: Sword & Shield Promo Cards,,8.41,20210311 21:20:40
Zamazenta,SWSH04: Vivid Voltage,,8.46,20210311 21:20:54
Blastoise & Piplup GX,SM - Cosmic Eclipse,,8.77,20210311 21:20:20
Toxtricity VMAX,Shining Fates: Shiny Vault,,9.41,20210311 21:21:02
Galarian Linoone,Shining Fates: Shiny Vault,,9.59,20210311 21:21:00
Team Yell Grunt (Secret),SWSH01: Sword & Shield Base Set,,9.7,20210311 21:20:57
Umbreon & Darkrai GX - SM241,SM Promos,,10.46,20210311 21:20:22
Espeon & Deoxys GX - SM240,SM Promos,,11.12,20210311 21:20:21
Piers (Full Art),Shining Fates,,12.34,20210311 21:20:58
Oleana (Full Art),SWSH02: Rebel Clash,,12.43,20210311 21:20:56
Umbreon GX (Full Art),SM Base Set,,15.21,20210311 21:20:20
Galarian Rapidash,Shining Fates: Shiny Vault,,15.96,20210311 21:20:59
Togepi & Cleffa & Igglybuff GX,Alternate Art Promos,,16.4,20210311 21:20:21
Gardevoir VMAX (Secret),Champions Path,,17.52,20210311 21:20:51
Jirachi,SWSH04: Vivid Voltage,,18.29,20210311 21:20:53
Togekiss VMAX (Secret),SWSH04: Vivid Voltage,,19.82,20210311 21:20:52
M Charizard EX,XY - Evolutions,,22.18,20210311 21:20:10
Rayquaza,SWSH04: Vivid Voltage,,22.52,20210311 21:20:53
Ditto VMAX,Shining Fates: Shiny Vault,,32.31,20210311 21:21:03
Alakazam EX (Secret),XY - Fates Collide,,35.43,20210311 21:21:03
Charizard VMAX,SWSH03: Darkness Ablaze,,96.94,20210311 21:20:43
Special Delivery Pikachu - SWSH074,SWSH: Sword & Shield Promo Cards,,231.54,20210311 21:20:57
