Pokemon,Set,Normal Price ($),Foil Price ($),Price Date
Gengar (20),Fossil,7.65,,20210311 21:20:08
Gambler,Fossil,0.26,,20210311 21:20:09
Recycle,Fossil,0.24,,20210311 21:20:09
Sabrinas Gengar,Gym Challenge,22.56,,20210311 21:21:05
Orbeetle V - SWSH078,Jumbo Cards,,0.84,20210311 21:20:33
Omastar BREAK,XY - Fates Collide,,0.98,20210311 21:20:12
Indeedee V,Shining Fates,,1.0,20210311 21:21:04
Morpeko V,Shining Fates,,1.07,20210311 21:20:32
Drednaw V,Champions Path,,1.08,20210311 21:20:27
Cramorant V,Shining Fates,,1.08,20210311 21:21:04
Cinderace V,Shining Fates,,1.08,20210311 21:21:05
Starmie BREAK,XY - Evolutions,,1.12,20210311 21:20:13
Zarude V,SWSH04: Vivid Voltage,,1.14,20210311 21:20:40
Ampharos V,SWSH04: Vivid Voltage,,1.22,20210311 21:20:24
Cinderace V - SWSH015,SWSH: Sword & Shield Promo Cards,,1.22,20210311 21:20:25
Meowth V - SWSH004,SWSH: Sword & Shield Promo Cards,,1.23,20210311 21:20:31
Galarian Cursola V,Champions Path,,1.24,20210311 21:20:26
Galarian Darmanitan V,SWSH04: Vivid Voltage,,1.25,20210311 21:20:26
Duraludon V,Champions Path,,1.26,20210311 21:20:28
Morpeko V - SWSH056,SWSH: Sword & Shield Promo Cards,,1.26,20210311 21:20:33
Steelix V,SWSH04: Vivid Voltage,,1.26,20210311 21:20:36
Carracosta GX - SM239,SM Promos,,1.3,20210311 21:20:14
Rhyperior V,SWSH03: Darkness Ablaze,,1.31,20210311 21:20:34
Aegislash V,SWSH04: Vivid Voltage,,1.32,20210311 21:20:23
Grimmsnarl V - SWSH057,SWSH: Sword & Shield Promo Cards,,1.37,20210311 21:20:30
Wailord V,Champions Path,,1.42,20210311 21:20:37
Eiscue V,SWSH02: Rebel Clash,,1.45,20210311 21:20:28
Rillaboom V - SWSH014,SWSH: Sword & Shield Promo Cards,,1.45,20210311 21:20:35
Alcremie V,Champions Path,,1.46,20210311 21:20:23
Torkoal V,SWSH01: Sword & Shield Base Set,,1.47,20210311 21:20:37
Machamp BREAK,XY - Evolutions,,1.51,20210311 21:20:12
Volcanion EX,XY - Steam Siege,,1.55,20210311 21:20:11
Eldegoss V,Champions Path,,1.58,20210311 21:20:29
Galarian Sirfetchd V - SWSH043,SWSH: Sword & Shield Promo Cards,,1.78,20210311 21:20:36
Diancie EX,XY - Fates Collide,,1.81,20210311 21:20:10
Salamence V,SWSH03: Darkness Ablaze,,1.85,20210311 21:20:35
Ditto V,Shining Fates,,1.86,20210311 21:20:27
Marshadow GX,SM - Burning Shadows,,1.92,20210311 21:20:17
Centiskorch V,SWSH03: Darkness Ablaze,,1.94,20210311 21:20:24
Tapu Koko V,SWSH01: Sword & Shield Base Set,,1.97,20210311 21:20:36
Trevenant BREAK,XY - BREAKpoint,,2.0,20210311 21:20:13
Glaceon GX - SM147,SM Promos,,2.04,20210311 21:20:15
Hop (Full Art),Champions Path,,2.08,20210311 21:20:55
Ho-Oh GX - SM57,SM Promos,,2.22,20210311 21:20:16
Gumshoos GX (Full Art),SM Base Set,,2.25,20210311 21:20:18
Eternatus V - SWSH064,SWSH: Sword & Shield Promo Cards,,2.28,20210311 21:20:30
Zacian V - SWSH018,SWSH: Sword & Shield Promo Cards,,2.31,20210311 21:20:38
Morpeko VMAX,Shining Fates,,2.39,20210311 21:20:47
